link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00272345,4.83233,0.411299,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.76482,0.0774559,0.197737,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000296769,19.6262,0.917798,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0138101,24.6417,1,0.0294521
Z9-Z3,Z9,Z3,8000,0,8000,0.165498,24.3588,0.999918,0.00376712
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000129011,4.94654,0.645945,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000163133,6.63393,0.604998,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00661404,12.9987,0.961049,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0105409,16.7046,1,0.00136986
Z4-Z3,Z4,Z3,8000,0,8000,4.55234,0.0466803,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.09045,8.33912,0.463636,0
Z6-Z5,Z6,Z5,8000,0,8000,3.54564,1.17532,0.286185,0
Z7-Z6,Z7,Z6,8000,0,8000,3.14769,6.62209,0.627074,0
Z8-Z7,Z8,Z7,6000,0,6000,1.23317,11.9618,0.976279,0
Z9-Z7,Z9,Z7,6000,0,6000,0.0306534,15.9727,0.950115,0
Z9-Z8,Z9,Z8,6000,0,6000,0.870916,6.06888,0.674696,0
Z10-Z8,Z10,Z8,8000,0,8000,2.96188,12.9007,1,0.00547945
Z11-Z9,Z11,Z9,8000,0,8000,3.33584,19.709,1,0.014726
Z11-Z10,Z11,Z10,8000,0,8000,0,12.5266,0.492177,0
Z12-Z10,Z12,Z10,8000,0,8000,3.31149,8.10158,0.788314,0
Z12-Z11,Z12,Z11,8000,0,8000,9.61793,1.8814,0.867131,0
Z13-Z11,Z13,Z11,5000,0,5000,10.1047,4.74069,0.996421,0.00205479
Z13-Z12,Z13,Z12,5000,0,5000,4.16813,5.8457,0.99958,0.00239726
Z14-Z12,Z14,Z12,10000,0,10000,0.00451627,26.0952,0.833832,0
Z15-Z12,Z15,Z12,6000,0,6000,2.61828,17.6,1,0.0373288
Z15-Z14,Z15,Z14,10000,0,10000,11.9368,1.72896,0.467126,0
Z16-Z13,Z16,Z13,6000,0,6000,0.0988417,10.896,0.948961,0
Z16-Z14,Z16,Z14,10000,0,10000,13.6955,0,0.47305,0
Z16-Z15,Z16,Z15,6000,0,6000,6.75211,3.26441,0.906859,0
Z17-Z13,Z17,Z13,4000,0,4000,12.2011,0.564045,1,0.0164384
Z17-Z16,Z17,Z16,4000,0,4000,21.0885,0,1,0.0445205
