carrier,bus_carrier,twh
blue_h2,H2,1.3
export,AC,-47.258
gas,AC,13.4763
gas_ccs,AC,0
import,AC,61.2463
nuclear,AC,34.5781
offwind,AC,138.744
onwind,AC,128.818
solar,AC,109.334
battery,AC,-1.25828
pumped_hydro,AC,-1.40066
h2_turbine,AC,0
electrolysis,AC,-0
