metric,zone,value
shadow_carbon_price_gbp_per_t,GB,910.466
demand_weighted_price_gbp_per_mwh,Z10,82.0186
demand_weighted_price_gbp_per_mwh,Z11,82.0186
demand_weighted_price_gbp_per_mwh,Z12,82.0186
demand_weighted_price_gbp_per_mwh,Z13,82.0186
demand_weighted_price_gbp_per_mwh,Z14,82.0186
demand_weighted_price_gbp_per_mwh,Z15,82.0186
demand_weighted_price_gbp_per_mwh,Z16,82.0186
demand_weighted_price_gbp_per_mwh,Z17,81.9434
demand_weighted_price_gbp_per_mwh,Z1_1,81.5906
demand_weighted_price_gbp_per_mwh,Z1_2,81.5906
demand_weighted_price_gbp_per_mwh,Z1_3,81.5906
demand_weighted_price_gbp_per_mwh,Z1_4,81.5906
demand_weighted_price_gbp_per_mwh,Z2,81.6719
demand_weighted_price_gbp_per_mwh,Z3,81.7326
demand_weighted_price_gbp_per_mwh,Z4,81.7326
demand_weighted_price_gbp_per_mwh,Z5,81.7326
demand_weighted_price_gbp_per_mwh,Z6,81.7326
demand_weighted_price_gbp_per_mwh,Z7,81.7326
demand_weighted_price_gbp_per_mwh,Z8,81.7384
demand_weighted_price_gbp_per_mwh,Z9,81.7384
demand_weighted_price_gbp_per_mwh,Teesside H2,90.9846
