link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00345939,4.4584,0.364541,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.32684,0.129707,0.179167,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000489057,19.8458,1,0.0116438
Z7-Z2,Z7,Z2,6000,0,6000,0.010682,25.613,1,0.0465753
Z9-Z3,Z9,Z3,8000,0,8000,0.0400505,29.014,1,0.0236301
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000355169,4.3312,0.594839,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.00336354,5.53134,0.554081,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.0108596,14.0539,1,0.00821918
Z3-Z2,Z3,Z2,6000,0,6000,0.0155354,17.0729,1,0.00239726
Z4-Z3,Z4,Z3,8000,0,8000,6.34387,0.0177394,0.287259,0
Z5-Z3,Z5,Z3,8000,0,8000,2.06647,6.69017,0.459347,0
Z6-Z5,Z6,Z5,8000,0,8000,4.91184,0.267343,0.363007,0
Z7-Z6,Z7,Z6,8000,0,8000,2.17294,11.9184,0.922516,0
Z8-Z7,Z8,Z7,6000,0,6000,0.615793,17.385,1,0.0126712
Z9-Z7,Z9,Z7,6000,0,6000,0.00637601,19.8719,1,0.00376712
Z9-Z8,Z9,Z8,6000,0,6000,1.88946,4.85437,0.615905,0
Z10-Z8,Z10,Z8,8000,0,8000,2.4869,16.0556,1,0.0205479
Z11-Z9,Z11,Z9,8000,0,8000,3.19214,22.4684,1,0.0441781
Z11-Z10,Z11,Z10,8000,0,8000,0.0293991,10.4054,0.489628,0
Z12-Z10,Z12,Z10,8000,0,8000,4.94798,9.71328,0.935848,0
Z12-Z11,Z12,Z11,8000,0,8000,8.70645,3.09572,0.962335,0
Z13-Z11,Z13,Z11,5000,0,5000,10.4247,5.37557,0.997498,0.0010274
Z13-Z12,Z13,Z12,5000,0,5000,4.41872,4.73844,0.998511,0.00136986
Z14-Z12,Z14,Z12,10000,0,10000,0.0121285,27.6954,0.853889,0
Z15-Z12,Z15,Z12,6000,0,6000,5.66204,19.934,0.999979,0.102397
Z15-Z14,Z15,Z14,10000,0,10000,14.2214,2.50778,0.464753,0
Z16-Z13,Z16,Z13,6000,0,6000,0.764689,13.4931,0.996964,0.000342466
Z16-Z14,Z16,Z14,10000,0,10000,14.6413,1.33393e-05,0.440086,0
Z16-Z15,Z16,Z15,6000,0,6000,8.13288,5.20523,0.830991,0
Z17-Z13,Z17,Z13,4000,0,4000,11.8017,1.77027,1,0.00445205
Z17-Z16,Z17,Z16,4000,0,4000,21.3998,0,1,0.0195205
