carrier,bus_carrier,twh
blue_h2,H2,5
export,AC,-55.2407
gas,AC,13.302
gas_ccs,AC,0
import,AC,50.8662
nuclear,AC,33.5672
offwind,AC,138.754
onwind,AC,132.172
solar,AC,104.161
battery,AC,-0.927437
pumped_hydro,AC,-1.22173
h2_turbine,AC,0
electrolysis,AC,-0
