carrier,bus_carrier,twh
blue_h2,H2,5
export,AC,-43.6714
gas,AC,13.3014
gas_ccs,AC,0
import,AC,58.7224
nuclear,AC,35.5099
offwind,AC,139.157
onwind,AC,113.233
solar,AC,101.374
battery,AC,-0.956172
pumped_hydro,AC,-1.238
h2_turbine,AC,0
electrolysis,AC,-0
