metric,zone,value
shadow_carbon_price_gbp_per_t,GB,52.4784
demand_weighted_price_gbp_per_mwh,Z10,60.8303
demand_weighted_price_gbp_per_mwh,Z11,60.8304
demand_weighted_price_gbp_per_mwh,Z12,60.8302
demand_weighted_price_gbp_per_mwh,Z13,60.8302
demand_weighted_price_gbp_per_mwh,Z14,60.8302
demand_weighted_price_gbp_per_mwh,Z15,60.8302
demand_weighted_price_gbp_per_mwh,Z16,60.8302
demand_weighted_price_gbp_per_mwh,Z17,60.457
demand_weighted_price_gbp_per_mwh,Z1_1,60.77
demand_weighted_price_gbp_per_mwh,Z1_2,60.77
demand_weighted_price_gbp_per_mwh,Z1_3,60.77
demand_weighted_price_gbp_per_mwh,Z1_4,60.7699
demand_weighted_price_gbp_per_mwh,Z2,60.7699
demand_weighted_price_gbp_per_mwh,Z3,60.7864
demand_weighted_price_gbp_per_mwh,Z4,60.7864
demand_weighted_price_gbp_per_mwh,Z5,60.7865
demand_weighted_price_gbp_per_mwh,Z6,60.7867
demand_weighted_price_gbp_per_mwh,Z7,60.7865
demand_weighted_price_gbp_per_mwh,Z8,60.7866
demand_weighted_price_gbp_per_mwh,Z9,60.7866
demand_weighted_price_gbp_per_mwh,Teesside H2,71.0496
