link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.002884,4.81056,0.415051,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.75575,0.0784684,0.198074,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000222749,19.528,0.927195,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0173166,25.1031,1,0.0304795
Z9-Z3,Z9,Z3,8000,0,8000,0.140253,26.2092,1,0.00582192
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.000195501,4.9229,0.63641,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000599395,6.60058,0.592196,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00599408,12.9337,0.965945,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0113093,17.2262,1,0.0010274
Z4-Z3,Z4,Z3,8000,0,8000,4.55133,0.0468667,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.32034,7.22212,0.460993,0
Z6-Z5,Z6,Z5,8000,0,8000,3.34236,1.0416,0.350074,0
Z7-Z6,Z7,Z6,8000,0,8000,2.77174,7.5446,0.661151,0
Z8-Z7,Z8,Z7,6000,0,6000,1.01199,14.9307,0.984343,0
Z9-Z7,Z9,Z7,6000,0,6000,0.00737481,17.8584,0.921569,0
Z9-Z8,Z9,Z8,6000,0,6000,1.45709,5.3614,0.683261,0
Z10-Z8,Z10,Z8,8000,0,8000,3.48565,13.6814,1,0.00650685
Z11-Z9,Z11,Z9,8000,0,8000,4.0216,20.4031,1,0.0195205
Z11-Z10,Z11,Z10,8000,0,8000,0.00597461,11.1484,0.494801,0
Z12-Z10,Z12,Z10,8000,0,8000,5.88706,7.76749,0.796739,0
Z12-Z11,Z12,Z11,8000,0,8000,11.2348,1.97289,0.869383,0
Z13-Z11,Z13,Z11,5000,0,5000,11.4087,4.93833,1,0.0167808
Z13-Z12,Z13,Z12,5000,0,5000,3.93919,6.12717,0.999876,0.00239726
Z14-Z12,Z14,Z12,10000,0,10000,0.0247587,25.4024,0.832673,0
Z15-Z12,Z15,Z12,6000,0,6000,6.29184,17.0466,0.999683,0.0438356
Z15-Z14,Z15,Z14,10000,0,10000,15.4886,1.85313,0.467008,0
Z16-Z13,Z16,Z13,6000,0,6000,1.11828,10.0717,0.942974,0
Z16-Z14,Z16,Z14,10000,0,10000,14.2935,0,0.443003,0
Z16-Z15,Z16,Z15,6000,0,6000,6.82434,6.16627,0.90568,0
Z17-Z13,Z17,Z13,4000,0,4000,14.0741,0.596244,1,0.0267123
Z17-Z16,Z17,Z16,4000,0,4000,21.1685,0,1,0.0510274
