carrier,bus_carrier,twh
blue_h2,H2,5
export,AC,-44.6181
gas,AC,13.296
gas_ccs,AC,0
import,AC,58.1177
nuclear,AC,35.3962
offwind,AC,138.554
onwind,AC,115.531
solar,AC,101.356
battery,AC,-0.947845
pumped_hydro,AC,-1.20146
h2_turbine,AC,0
electrolysis,AC,-0
