link,bus0,bus1,p_nom_existing_mw,p_nom_new_mw,p_nom_total_mw,twh_forward,twh_reverse,max_utilisation,hours_congested_share
Z1_3-Z1_1,Z1_3,Z1_1,3500,0,3500,0.00292659,4.83074,0.413966,0
Z1_3-Z1_2,Z1_3,Z1_2,3500,0,3500,1.76396,0.0774965,0.19786,0
Z2-Z1_3,Z2,Z1_3,6000,0,6000,0.000324715,19.6271,0.924129,0
Z7-Z2,Z7,Z2,6000,0,6000,0.0133961,24.8029,1,0.0256849
Z9-Z3,Z9,Z3,8000,0,8000,0.153616,25.192,0.99981,0.00445205
Z1_4-Z1_2,Z1_4,Z1_2,2000,0,2000,0.00015955,4.94617,0.639439,0
Z1_4-Z1_3,Z1_4,Z1_3,3000,0,3000,0.000308788,6.63279,0.596235,0
Z2-Z1_4,Z2,Z1_4,4000,0,4000,0.00610763,13.0004,0.960762,0
Z3-Z2,Z3,Z2,6000,0,6000,0.0102282,17.0116,1,0.00136986
Z4-Z3,Z4,Z3,8000,0,8000,4.55045,0.0461386,0.13414,0
Z5-Z3,Z5,Z3,8000,0,8000,1.11815,7.83437,0.460772,0
Z6-Z5,Z6,Z5,8000,0,8000,3.36757,1.19896,0.288262,0
Z7-Z6,Z7,Z6,8000,0,8000,3.01884,6.6908,0.63663,0
Z8-Z7,Z8,Z7,6000,0,6000,1.07217,13.4348,0.980019,0
Z9-Z7,Z9,Z7,6000,0,6000,0.0218221,16.9465,0.94754,0
Z9-Z8,Z9,Z8,6000,0,6000,1.05468,5.60104,0.673152,0
Z10-Z8,Z10,Z8,8000,0,8000,3.11922,13.0544,1,0.00582192
Z11-Z9,Z11,Z9,8000,0,8000,3.54958,19.5895,1,0.0143836
Z11-Z10,Z11,Z10,8000,0,8000,0.000390344,11.5494,0.494527,0
Z12-Z10,Z12,Z10,8000,0,8000,4.82869,7.48609,0.793657,0
Z12-Z11,Z12,Z11,8000,0,8000,10.7031,1.81149,0.873545,0
Z13-Z11,Z13,Z11,5000,0,5000,10.8025,4.73847,0.995277,0.0010274
Z13-Z12,Z13,Z12,5000,0,5000,3.94813,6.07357,0.999189,0.00239726
Z14-Z12,Z14,Z12,10000,0,10000,0.00628187,25.4351,0.839305,0
Z15-Z12,Z15,Z12,6000,0,6000,5.08466,16.7578,0.999981,0.0445205
Z15-Z14,Z15,Z14,10000,0,10000,14.5797,1.74704,0.466869,0
Z16-Z13,Z16,Z13,6000,0,6000,0.673911,9.94309,0.95302,0
Z16-Z14,Z16,Z14,10000,0,10000,14.1147,0,0.473919,0
Z16-Z15,Z16,Z15,6000,0,6000,6.54358,5.26156,0.907421,0
Z17-Z13,Z17,Z13,4000,0,4000,13.4194,0.570798,1,0.014726
Z17-Z16,Z17,Z16,4000,0,4000,20.7716,0,1,0.0232877
